RangeStart,RangeEnd,Type
185.254.56.125,185.254.56.125,NAT
185.254.59.118,185.254.59.127,NAT
103.18.85.29,103.18.85.30,NAT
199.101.111.220,199.101.111.239,NAT
163.47.101.118,163.47.101.127,NAT
103.245.221.106,103.245.221.106,NAT
103.18.87.240,103.18.87.249,NAT
185.254.59.40,185.254.59.255,Public
185.254.58.1,185.254.58.255,Public
185.254.57.1,185.254.57.255,Public
168.245.200.1,168.245.201.255,Public
168.245.202.1,168.245.203.255,Public
128.136.160.9,128.136.160.254,Public
103.18.85.21,103.18.85.254,Public
199.101.110.31,199.101.110.254,Public
199.101.111.05,199.101.111.127,Public
199.101.108.5,199.101.109.254,Public
103.8.28.0,103.8.25.254,Public
103.177.46.0,103.177.46.254,Public
